locationGroupIdentifier,locations.locationIdentifier,locationGroupType,locationGroupName,sourceLink
N-Reg,FAA - Washington,CUSTOMER,Northern region,http://lighttree.com/N-Reg
N-Reg,QPWD - Ville de Québec,CUSTOMER,Northern region,http://lighttree.com/N-Reg
N-Reg,MAHD - Boston,CUSTOMER,Northern region,http://lighttree.com/N-Reg
N-Reg,NYDOT - New Rochelle,CUSTOMER,Northern region,http://lighttree.com/N-Reg
N-US-Supp,Alumi-lux - Nashua,SUPPLIER,North US Suppliers,http://lighttree.com/N-US-Supp
N-US-Supp,Amos - Philadelphia,SUPPLIER,North US Suppliers,http://lighttree.com/N-US-Supp
N-US-Supp,Benchmark - Wheaton,SUPPLIER,North US Suppliers,http://lighttree.com/N-US-Supp
N-US-Supp,Core - Saranac Lake,SUPPLIER,North US Suppliers,http://lighttree.com/N-US-Supp
N-US-Supp,F & M - Columbus,SUPPLIER,North US Suppliers,http://lighttree.com/N-US-Supp
N-US-Supp,Flexilux - Worcester,SUPPLIER,North US Suppliers,http://lighttree.com/N-US-Su
